答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
56,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,其他:比较容易接受从一些动漫之类的里面的角色演变的虚拟偶像,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 17:23:27,2022-01-30 17:28:26,04分59秒,新疆维吾尔自治区,巴音郭楞蒙古自治州,110.153.81.154,Chrome 86.0.4240.99,Android Linux 10
57,,19-29 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:30:08,2022-01-30 17:31:06,00分58秒,山西省,,223.104.204.36,Chrome 89.0.4389.72,Android Linux 11
58,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:32:59,2022-01-30 17:33:52,00分53秒,陕西省,宝鸡市,124.23.133.136,Unknown Browser,iPhone iOS 15.2.1
59,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:33:42,2022-01-30 17:34:05,00分23秒,陕西省,西安市,113.138.45.240,Unknown Browser,iPhone iOS 15.2.1
60,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:37:01,2022-01-30 17:37:40,00分39秒,安徽省,芜湖市,60.169.167.156,Chrome 86.0.4240.99,Android Linux 10
61,,19-29 岁,男,本科,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:45:41,2022-01-30 17:46:18,00分37秒,广西壮族自治区,,117.183.114.169,Chrome 89.0.4389.72,Android Linux 10
62,,12-18 岁,女,高中,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:51:52,2022-01-30 17:52:29,00分37秒,浙江省,杭州市,113.214.195.95,Unknown Browser,iPhone iOS 14.6
63,,19-29 岁,男,本科,2000 元以下,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 17:57:54,2022-01-30 17:58:37,00分43秒,广东省,深圳市,223.104.64.134,Unknown Browser,iPhone iOS 10.3.2
64,,19-29 岁,男,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:00:40,2022-01-30 18:02:59,02分19秒,重庆市,重庆市,180.88.203.71,Chrome 89.0.4389.72,Android Linux 10
65,,19-29 岁,女,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 501 到 1000 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,不太清楚,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 18:01:15,2022-01-30 18:03:23,02分08秒,广东省,深圳市,120.229.72.241,Unknown Browser,iPhone iOS 15.2.1
66,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:06:17,2022-01-30 18:06:52,00分35秒,浙江省,温州市,111.1.96.4,Chrome 86.0.4240.99,Android Linux 10
67,,19-29 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:09:11,2022-01-30 18:09:44,00分33秒,广西壮族自治区,柳州市,220.173.176.225,Unknown Browser,iPhone iOS 15.2.1
68,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:13:50,2022-01-30 18:14:32,00分42秒,浙江省,,223.104.162.61,Chrome 86.0.4240.99,Android Linux 11
69,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:16:29,2022-01-30 18:17:05,00分36秒,浙江省,温州市,220.190.91.252,Chrome 86.0.4240.99,Android Linux 8.0.0
70,,19-29 岁,男,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:32:09,2022-01-30 18:33:48,01分39秒,,,39.144.62.204,Chrome 89.0.4389.72,Android Linux 10
71,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-01-30 18:00:23,2022-01-30 18:37:57,15分54秒,,,36.161.57.157,Chrome 86.0.4240.99,Android Linux 10
72,,12-18 岁,男,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 18:57:30,2022-01-30 18:58:22,00分52秒,,,36.148.92.47,Chrome 86.0.4240.99,Android Linux 10
73,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 19:03:59,2022-01-30 19:04:35,00分36秒,浙江省,温州市,60.180.179.186,Chrome 86.0.4240.99,Android Linux 11
74,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 19:19:04,2022-01-30 19:20:12,01分08秒,安徽省,,223.104.36.15,Chrome 86.0.4240.99,Android Linux 10
75,,19-29 岁,男,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 19:30:06,2022-01-30 19:30:44,00分38秒,甘肃省,武威市,42.94.132.181,Chrome 89.0.4389.72,Android Linux 11
76,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 19:37:54,2022-01-30 19:38:34,00分40秒,浙江省,舟山市,183.152.206.117,Unknown Browser,iPhone iOS 15.1
77,,46 岁及以上,女,博士研究生及以上,20000 元以上,东北地区（包括黑龙江、吉林、辽宁）,无业人员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 19:41:26,2022-01-30 19:41:58,00分32秒,广东省,深圳市,116.24.90.121,Unknown Browser,iPhone iOS 14.4
78,,19-29 岁,男,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 19:55:09,2022-01-30 19:57:14,02分05秒,重庆市,重庆市,106.84.173.85,Unknown Browser,iPhone iOS 15.2.1
79,,19-29 岁,男,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,洛天依,娱乐消费，能够带来快乐,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 20:00:12,2022-01-30 20:01:09,00分57秒,广西壮族自治区,桂林市,171.106.157.84,Chrome 89.0.4389.72,Android Linux 12
80,,19-29 岁,女,本科,2000 元以下,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 21:14:38,2022-01-30 21:15:28,00分50秒,陕西省,宝鸡市,123.139.250.127,Chrome 89.0.4389.72,Android Linux 11
81,,19-29 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 到 200 元,直播打赏,直播打赏|线上/线下 演唱会,虚拟偶像种类:0.0|相关产品的丰富度:0.0|付费价格:0.0|其他:100.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-01-30 21:14:40,2022-01-30 21:16:28,01分48秒,广东省,深圳市,113.91.38.216,Chrome 89.0.4389.72,Android Linux 10
82,,19-29 岁,女,本科,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-30 23:22:27,2022-01-30 23:23:24,00分57秒,甘肃省,平凉市,42.92.113.252,Chrome 89.0.4389.72,Android Linux 10
83,,19-29 岁,男,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,初音未来|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 00:20:51,2022-01-31 00:21:38,00分47秒,广东省,惠州市,183.30.90.230,Chrome 89.0.4389.72,Android Linux 10
84,,12-18 岁,女,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 02:15:00,2022-01-31 02:15:48,00分48秒,湖南省,张家界市,223.153.5.49,Chrome 86.0.4240.99,Android Linux 10
85,,19-29 岁,男,本科,暂无收入,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 07:30:51,2022-01-31 07:31:43,00分52秒,山西省,朔州市,171.122.186.24,Chrome 89.0.4389.72,Android Linux 11
86,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 08:19:04,2022-01-31 08:20:05,01分01秒,浙江省,温州市,60.180.124.138,Chrome 89.0.4389.72,Android Linux 10
87,,12-18 岁,男,高中,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 09:32:52,2022-01-31 09:33:46,00分54秒,重庆市,重庆市,117.59.173.101,Chrome 89.0.4389.72,Android Linux 10
88,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 09:50:45,2022-01-31 09:51:28,00分43秒,广东省,深圳市,223.104.64.128,Unknown Browser,iPhone iOS 14.4.2
89,,19-29 岁,男,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 11:54:09,2022-01-31 11:54:56,00分47秒,安徽省,合肥市,183.162.12.168,Chrome 89.0.4389.72,Android Linux 10
90,,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 13:05:54,2022-01-31 13:07:22,01分01秒,广西壮族自治区,桂林市,117.136.97.102,Chrome 89.0.4389.72,Android Linux 10
91,,19-29 岁,女,本科,暂无收入,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,,,,,,,,2022-01-31 19:47:09,2022-01-31 19:47:39,00分30秒,,,39.144.64.111,Chrome 86.0.4240.99,Android Linux 10
92,E_307_612cca7233f0c40b7533e788_2IDNxETM,19-29 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托,花过，200 元以下,每月 50 到 200 元,代言品牌|漫画等周边,代言品牌|游戏,虚拟偶像种类:7.0|相关产品的丰富度:40.0|付费价格:46.0|其他:7.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:25:01,2022-02-04 10:27:33,02分32秒,浙江省,杭州市,115.198.101.116,Chrome 88.0.4324.93,Android Linux 10
93,E_307_600679231b2425ff4e64f1b4_2IDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:25:04,2022-02-04 10:27:35,02分31秒,黑龙江省,哈尔滨市,223.104.17.198,Chrome 74.0.3729.136,Android Linux 9
94,E_307_61f7f6ab1b2425ff3c9a0a63_2IDNxETM,19-29 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,初音未来|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，1000 元以上,每月 201 至 500 元,直播打赏|漫画等周边|线上/线下 演唱会|游戏,直播打赏|游戏,虚拟偶像种类:41.0|相关产品的丰富度:23.0|付费价格:14.0|其他:22.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:24:51,2022-02-04 10:27:43,02分52秒,江苏省,南京市,117.136.45.12,Chrome 70.0.3538.110,Android Linux 8.1.0
